Name,Current Price,Old Price,Discount,Date
"HP Refurbished Elitebook 840  Core  I5, Slim Model ,  8GB RAM 500GB  HDD -14"", Black  (6 Months WRTY)","KSh 16,499","KSh 29,999",45%,2025-07-05
HP Chromebook 11 G8 Intel Celeron N4020 Storage 32GB / 4GB RAM Bluetooth WiFi HD Webcam Refurb.(6 Months WRTY),"KSh 8,499","KSh 15,799",46%,2025-07-05
"HP 6th Gen 16GB, 256GB SSD Refurbished EliteBook 840 G4 Intel Core I5 Window10 Trial","KSh 24,849","KSh 45,000",45%,2025-07-05
"Lenovo Refurbished Yoga 11e , 11.6"" Touchscreen Intel Celeron - 128GB SSD- 4GB RAM,X360 + Free Laptop Bag","KSh 11,874","KSh 20,000",41%,2025-07-05
"HP REFURBISHED EliteBook 840  Intel Core I5 14"" Inch 4GB RAM 500GB HDD Win10, 6 Months WRTY","KSh 17,000","KSh 70,000",76%,2025-07-05
"HP EliteBook 1TB HDD Storage 16GB RAM  Slim Ultrabook Refurbished Laptop 820 G1 Intel Core I5, Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Charger + Wireless Mouse + Mouse Pad + Free Extension.","KSh 23,700","KSh 40,000",41%,2025-07-05
HP REFURBISHED ELITEBOOK 840 G3 CORE I5 8GB 256GB SSD 14'' 6TH GEN,"KSh 19,499","KSh 31,000",37%,2025-07-05
"Apple Refurbished MacBook Pro 13"" Core I5 8GB RAM, 1TB HDD ( 2012) 2.5GHz- Silver, 6 Months WRTY (6 Months WRTY)","KSh 26,500","KSh 49,999",47%,2025-07-05
"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" Inch 4GB RAM 500GB HDD Win10, 6 Months WRTY","KSh 15,400","KSh 30,000",49%,2025-07-05
"X Tigi HeroBook 10.1""- Android - Quad Core-3Gb RAM-64Gb ROM- 4000mAh-12 Months Warranty","KSh 8,627","KSh 17,043",49%,2025-07-05
"Lenovo IdeaPad 1, Intel Celeron N4020, 8GB RAM, 256GB SSD, 14"" HD Display, Windows 11 Pro, Cloud Grey+Bag+Flash+Mouse (1YR WRTY)","KSh 38,999","KSh 43,000",9%,2025-07-05
"HP EliteBook 840 G5-8th Gen -Core I5, 8GB RAM, 256GB-SSD-Refurbished-14""Touch screen- Silver-Win (6 Months WRTY)","KSh 32,499","KSh 32,999",2%,2025-07-05
HP Elitebook 840 G1 8GB RAM 1 TB Storage Refurbished Intel Core I5,"KSh 19,000","KSh 28,000",32%,2025-07-05
"HP Refurbished Revolve Touchscreen 810 G3 Core I5 8GB RAM, 256GB SSD, 11.6""- Sliver, 6 Months WRTY","KSh 27,800","KSh 70,000",60%,2025-07-05
Lenovo Chromebook 100e Storage 32GB SSD EMMC / 4GB RAM WiFi - HDMI - Camera - Bluetooth Refurb (6 Months WRTY),"KSh 8,999","KSh 15,999",44%,2025-07-05
"HP Refurbished Probook 640   Core I5   500 HDD- 8GB RAM -14""  - Black  (6 Months WRTY)","KSh 15,299","KSh 29,999",49%,2025-07-05
"Asus Vivobook 14, Intel Core i3, 8GB RAM, 512GB SSD, Windows 11, 14"" FHD Display, Black +Bga+Mouse+Flash (1YR WRTY)","KSh 47,999","KSh 55,000",13%,2025-07-05
Lenovo Refurbished Thinkpad X250 2 Intel Core I5 8GB RAM 256GB SSD 12.5'' Black,"KSh 14,099","KSh 29,000",51%,2025-07-05
"Apple  MacBook Pro 13""- Core I5 -8GB RAM, 256GB SSD (2012) Laptop -Silver","KSh 22,399","KSh 28,000",20%,2025-07-05
"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" 8GB RAM 500GB HDD, 6 Months WRTY","KSh 17,999","KSh 70,000",74%,2025-07-05
"Lenovo THINKPAD 11e Intel Celeron 4GB Ram, 128GB Ssd Touch Screen RENEWED","KSh 10,464","KSh 25,000",58%,2025-07-05
"HP Refurbished Elitebook 840 G5 8th Generation Core I5, 8GB RAM, 256GB SSD","KSh 28,999","KSh 58,000",50%,2025-07-05
"HP EliteBook 1030 G2 X360 7th Gen Core I7 16gb Ram 512Gb SSD-Refurbished-13""-Silver- Win 11","KSh 41,999","KSh 55,000",24%,2025-07-05
"HP Refurbished Elitebook 840  G3 6th Gen  ,  Core I7, 8GB RAM- HDD 500GB  -14"", Silver  (6 Months WRTY)","KSh 26,499","KSh 46,999",44%,2025-07-05
"Lenovo REFURBISHED THINKPAD YOGA 11E 4 GB RAM, 128 SSD","KSh 11,150","KSh 19,000",41%,2025-07-05
HP 16 GB RAM Elitebook 840 G1 &1 TB Storage Refurbished Intel Core I7,"KSh 26,000","KSh 45,000",42%,2025-07-05
Lenovo Refurbished THINKPAD T480 Intel Core i5-8th Gen 16GB RAM 256GB SSD Windows 11 pro Installed + Free wireless mouse,"KSh 24,224","KSh 38,000",36%,2025-07-05
Sans Nom Bluetooth USB 2.0 Micro Adapter Dongle,KSh 399,KSh 900,56%,2025-07-05
